"Text","Author","Likes"
"Love the aspect ratio! I have a 21:9 Samsung Odyssey G8, and the fact that the video is wider than that!","@chiraglokhare",""
"2007 was the tipping point for mobile phones and social media","@xTriggerHappi",""
"I quit reading Wired magazine when they sold their cover and cover story to General Motors. ""GM. Has won the electric car race"". They did not have a e.v. product at that time.","@steveknutzen2830",""
"As someone studying biotech, the bioengineering part was too much hype on our actual capabilities. As expected from a reporter...","@niahma3494",""
"I''m struggling to find ways to be happy to be alive, and inhabiting this world we live in. I''m 46 and have no friends- just a tumultuous past and very little hope that the future will be better.","@oliveriosandovaljr2141",""
"Let me be clear - if AGI in whatever marketable form ever turns out to be possible, YOU won''t get it. It won''t be a product. It will, however, help whichever tech company makes it in gouging you out of your money and data.","@Seviexe",""
"This should have been a 30-second YouTube short","@barefootfred1479","2"
"Yeah you know what these eras didnt have ?  - Fentanyl","@iamstannie","1"
"It is a very optimistic video. We''ll live in tech-feudalism, with tech billionaires ruling the world.","@duducarioca99",""
"Clean Energy : ""We don''t have to dig it up."" Yes you do. Big time. You needs lots of rare earth to make electronics and batteries.","@Nolinquisitor",""
"What is being described is a change in energy generation.  From agrarian to coal,  then from coal to oil.","@EduardoMartinez-ys6fb",""
"can we come back to this in 30 years eating my fake porkchop surviving on my poverty level universal basic income with my palantir brainchip and -80 social credit score for posting memes?","@brandonroberts586","1"
"""How wide would you like your picture?"" ""Yes.""","@andybaldman",""
"Everything this guy is so excited about sounds like a dystopia from a post-apocalyptic horror film. Like 1984, Brave New World, Hunger Games, Book of Revelation all rolled into one.","@dungeoneering1974",""
"I love your optimism - I hope it goes well","@HarryFM1",""
"Thank you, Peter Leyden. That is something to think about.","@alexgoslar4057",""
"i really hope we go in the other direction , instead of ore cnetralized madness , we organize in smaller comunities , comunicated , but with autonomy, free markets , minimal state , minarchist paradise","@Derek_H_360",""
"We are ALWAYS smack in the middle of nodding an old system and adopting new ones.","@hadlervilela1851",""
"The guy may be all that, but it''s off putting how deeply in love he is with himself. Grow some humility please.","@Steelrat1994",""
"You didn''t mention how broken human relationships are these days . How we care less and less of building families and children! How traumatized and emotionally unevolved people are. We are not progressing - We are Regressing!","@gauravharchwani",""
"We would now consider the modern world, and they invented six huge things that we still are.","@futurebizpros",""
"The idea that the iPhone is the most amazing thing in the world is tragic.","@sgs261",""
"At least one of my grand parents was born before the Wright Brothers had their first successful flight.  I was born 2 years before the Soviet Union put the first human made object into orbit around the earth.  A lot changes in the course of an average life span.","@amberyooper",""
"Dude jumped to 80 different topics in 15:00 minutes","@Taoteching12","1"
"What is a non-economic definition of progress? I''d argue all the ""progress"" we''ve made has been destroying our source of life.","@Ivyana5","1"
"The best part about all of these in innovations and how cheap everything is going to get is that the billionaires are going to pocket all the savings and prices will just go up!","@kinghash29",""
"""Is not this great Babylon, that I have built by the might of my power, and for the honour of my majesty?"" While the word was in the king''s mouth, there came a voice from heaven, saying, O king Nebuchadnezzar, the kingdom is departed from thee, until you know that The Most High rules in the kingdom of men, and gives it to whomsoever he will."" Daniel 4 (abridged).","@Dieu_regne",""
"At 3:00 you missed a bit. 1945-1978 hardly includes the computer age (at least the PC). And that was rather revolutionary too.","@95rav",""
"Other than saying ‘look how cool and different we are’, what value does an overly tiny aspect ratio add to educational content?","@leonxger",""
"Crazy he is talking about the price of batteries coming down without mentioning the exploitation that is involved","@TiffynCvejanovich",""
"We don''t have the resources for all of this. We running out of sand.......can''t make panels without sand.....then there''s the copper problem and the oil problem.   Humanity is in for a massive shock","@noneofyourbusiness5433",""
"Uber is a bad example. Cab companies were already in the process of transitioning to an app based cab calling model, rideshare polling is pretty clear that people consider them to be a worse service when compared to traditional cab drivers, and prices were only artificially low because of venture capital subsidies driving traditional companies out of business. The ""innovation"" was in applying dumping tactics that have been outlawed in other industries in a new environment.","@threedayweekend",""
"In 30 years will need like only 2 billion humans to keep the world going..  Glad I''m old.","@headpump",""
"I predict an evolution of Amish societies emerging (non-religious), where communities of people live with pre-21st century technologies (having a primitive, regulated version of the internet as it existed in the late 90''s (with email and forums), no smart devices, and only utilizing physical media instead of subscriptions, streaming services, and live service games).  Just before the last major turning point.","@HaveAnotherPiñaColada",""
"Just becuase you CAN do/build something does no mean you can do it as efficiently as nature, at scale, and without the accompanying intagible liabilities.","@RR2.0ZipTie",""
"tell me which year in last 2500 year was not  ""most pivotal year in our lifetime "" ,  we all humans believe that we are at the cusp of history at the end of history .","@shahinchoudhury8256",""
"Claiming that ''clean energy'' is a technology that does not require mining of minerals is deceptive.","@SsgtHolland",""
"Dear Peter Leyden, the reoccurrence of the tipping point can be to a large degree attributed to the greed of the people that includes corruption and deception.","@alexgoslar4057",""
"Pretty good, logic lecture about essentially economics vs technology in the US. However allow me to call your attention to the fact that this time around it is different: the issues are more global: climate, mass migration, global supply chains, global food sources. The us population is less than 4 percent of the world population. The US GDP is huge but it is 26% of the world GDP. It is high time to have a look outside.","@helianocabral9832",""
"This is the first time I''ve seen black bars on my Galaxy flip","@aacoimbra",""
"I agree with most of this apart from the prediction about renewables.","@antwbrown",""
"This is a great video and a great out look. Where is blockchain and crypto on the invention list? If everything is going digital so is currency.   It will be interesting to see what challenges these technologies produce for humankind and how as a community of living creatures we can handle thinking electronics smarter than us.   Cheers for the present","@antskorp",""
"If technology is becoming cheaper and cheaper, why am I paying more and more for the same services and things?","@Honorboy",""
"Next Revolution: This aspect ratio in portrait.","@aventu-yt",""
"this guy is optimistic as fuck... global governance, digital democracy...","@CineIt",""
"The problem is that technology is being used to eliminate the middle class. This guy is giddy about this because he’s a socialist and a mouthpiece for the technoligarchs. “Sustainable capitalism” = socialism. “Digital democracy” = central control. “Global governance” =  globalism actualized. His enthusiasm for these ideas is chilling, and it shows how out of step people in the media and politics are with everyday citizens. If it comes to pass, this “revolution” he speaks of will not end well for the American people.","@MichaelMassie",""
"The United States needs to figure out a way to get out of debt.  I''ve seen estimates that 40 cents of every dollar collected from income tax goes to pay the interest on the national debt.  In some states, the percentage is higher.","@jamiezenichi1017",""
"The thing that always concerns me with videos like this, is that they just look at the positives of these different periods of innovations. Take the post civil war error that he mentioned. Yes there was great economic growth for a number of people, particularly those who ventured west, claimed land, and benefited from a booming economy. But this was also the period where the railroad opened up every natural resoruce of the west, facilitated the slaughter of Native americans and many wildlife species & ecosystems (think bison, passenger pigeons, wolves & grizzlies), and kick started our addiction to fossil fuels, which arguably has killed 100x times more people around the world since the civil war than the actual war did itself. The same can be applied to the industrial boom of the 40-70''s. Yes there was great economic opportunity for people after the war, but it really laid the ground for the addictions we face today centred around personal automobiles, cheap consumer items, and heavily processed food, and the challenges we also face around housing and cost of living. And then the start of the digital age helped to connect the world in so many ways, and created the globalised society we today live in, but the negatives around being addicted to online spaces, and the impact that has on our relationships, careers, and personal wellbeing is never addressed by the same players that created said circumstances. For every step forward humanity makes, we often take 10 steps back if innovation occurs rapidly without giving us time to think, plan and regulate effectively.   And by my estimation, this next technological boom will result in exactly the same thing. AI might make our daily lives more efficient, but because those efficiency improvements are most commonly focused around human labour needs, it will just result in mass joblessness. And the thought that this would actually be redistributed is fanciful, as the technology is wielded by just the top 0.001% of society, that also have incredible influence over the governments of the world. In short, there is no way that these gains will actually be shared across the world. Yes renewables may help us overcome our addiction to fossil fuels, bit it creates a new addiction to various rare earth elements that nations are currently fighting wars over, the control of which will also dictate the flow of money to the citizens of the world. And the promises around CRISPR technology is definitely impressive, but it could also be terrifying if used to create super viruses, unkillable bacteria, or diseases the target specific ethnicities or genetic groups. Or even if it isn''t intentionally used for mass harm, what if the lab cultured beef unknowingly creates the perfect environment for ultra transmissible strains of mad cow, TB, Brucelosis, and since the tissue is not contained within a body with a functioning immune system, those pathogens spread quickly to the consumers buying said product? When technologies rapidly develop, and we just kick back and let it run it''s course, they arguably do more harm than good over the long run, by concentrating power with those who are irresponsible to wield it, and creating a litany of unintended consequences that we can''t turn back the clock on.","@fillthefreezer8413",""
"Humans need to find ways to be free from the constant bombardment of digital disinformation.  I''m glad I knew the World BC2 [Before Computers]","@FunBee888",""
"What is the chance we do things better this time...?  Slim to none.","@jacquelinemarie6325",""
"I like how he ended with “one world government” but didn’t explain that at all","@jakehewitt2697",""
"I''m a bit skeptical on these divisions and what makes people choose those and not others. Wasn''t 1970s to 2000s an equally crazy boom of progress that went from sending us to the moon with basically mechanical calculators to the digital age of the internet, prompting people to abandon living outdoors for living predominantly indoors and virtually. To me it''s not entirely convincing to break up history in similar chunk with similar pauses in between. The rate of change and development has been increasing logarithmically so I can''t really compare 250 years ago to today''s development cycles.  (Also on the point of clean energy, it''s a bit reductive to say that solar energy for example is a technology and not a commodity. It still requires extraction of resources, but rather than large quantities of bulk resources instead now relies on extremely rare, difficult to extract resources. It''s still a positive regardless, but mostly since it doesn''t rely on irreplaceable organic material, but instead on elements we can find easily all over the solar system. Just good to keep in mind currently it still requires extraction on earth, and exploitation of our fellow humans)","@jeroencoessens",""
"I find it ironic that the name of this channel is Freethink as we talk about eventual globalism. Those who say we can''t predict the future don''t pay enough attention. Hollywood predicts the future quite often in realistic ways. We are on the verge of having Jarvis, Skynet, flying cars, and so many other possibilities. Eventually one of those possibilities will become our reality. Hopefully we choose the right one, but sadly, we will all fall for bright and shiny, as we always do.","@thatoneguy86420",""
"#1 hurdle is money out of politics, and taxing billionaires out of existence.","@Unitos_",""
"Not democracy, but “digital democracy”? That really needed elaboration.","@juliaorpheus",""
"8:10 When he says ""wide open continent"" he means after they ethnically cleansed all the people who had been settled there for centuries. Wasn''t very ""wide open"" to begin with, it was full of Americans.","@JustAroadcone",""
"We are seeing a decrease in globalization as we speak","@Timscotttimmy",""
"I don''t see how you can come to the conclusion that we''re heading towards ''global governance'' from ''nation states'' when there is a very widespread resurance of Populist politics across the world. Seems like it''s going in the opposite direction.","@elliott9628",""
"After everything that can go wrong, does go wrong. Whatever is left will be fabulous. I hope the machines remember us somewhat fondly. And if not fondly, then at least fairly. And if not fairly then ... well ... I hope they spell our names right.","@ronagoodwell2709",""
"I’m sure great things will happen in the coming decades, but if you look back at these other revolutions, you will notice they came out of wars and turmoil. We have to be careful about how we progress and what humans should be in the future.","@marcusliriano9213",""
"Problem is that climate limits are going to stop all of it... if only we paid attention 30 years ago.","@nitramluap",""
"These 25 years increments are pretty arbitrary. Our last one ended in 1970 and the new one isn''t starting until 2025? So we''re skipping over the internet and personal computers for the most part. I''d say Youtube is only a little less of a revolution than the printing press.","@lazerblade2","1"
"From the thumbnail, I thought it was about mouse skates","@hawaiicashew3237",""
"14:04 - Digital Democracy? It''s more like Cyber-Authoritarianism. May God have mercy on us.","@Xebleubers",""
"I would recommend anyone watching this to read Ray Dalios ""principles of surviving a changing world order"".","@nabsynth1",""
"I''d be very interested in hearing historians jump in on these chosen cohorts of time.","@luke9822",""
"editor did a great job","@pytonica",""
"Loving the aspect ratio!","@dhareshm6189",""
"Same thing was said in 1945 with nuclear weapons, that we were going to have a nuclear holocaust any day.  80 years later ……nada","@jasonborne5724",""
"13:30 The ""bottom"" 80% enjoys a much better standard of living now than one century ago.","@sebholding",""
"Hey, my Nokia 3310 was not clunky. It was a beast of a phone!","@augustoielo5599",""
"Thank you  very interesting","@Moukass",""
"The presenter: - Do You get it? Me: - I get it. We need another civil war.","@cavelion84",""
"God help us if there’s a global governance. I don’t think the people of the world will ever fully adopt and fully trust a global authority without a serious fight first","@Kteeee",""
"The coral reefs have also just hit a tipping point this year","@iancoleman5555",""
"I just want to live peacefully, afford a home and raise a family :X","@fixhomeie",""
"Seems more like we are heading toward Technocratic Feudalism than Digital Democracy.","@Spacetornadoes",""
"Need to keep mind, that before each of those growth events, a big war happened..","@ashaboy14",""
"Founding Era (1787-1812). Gilded Age (1865-1890). Post-war Era (1945-1970). 4:3 to 16:9 Era (1971-2024). Exotropia Era (2025-).","@Ezerael",""
"How fantastic of an explanation is that?!. Thank you","@shaner67",""
"I know it was just an example but I don''t think anyone said ""Holy Shit"" for the first time when seeing an iPhone. I would have said it was the Nokia.","@cardinalnight3883",""
"I just wish that people would focus on clean energy instead of image generation. Like hold off on the sora until we lock down energy.","@Big_kahuna_guy",""
"these kina videos like ""trying to keep a good face during a bad game"". Only a madman can have positive fantasies about the future.","@RapideKreskas","2"
"I hope you''re right hopefully people will see that everyone prospers everyone can live well","@marcusdiaz138",""
"This is a nice counterpart to all the ''future'' videos where the Trump Dynasty rules the galaxy or whatever. He speaks so positively. I''m 62, have seen a lot of change and...there are always problems and new issues (mobile social media has destroyed the fabric of society, but no one''s forcing you to scroll) but it''s also much better. So far, I like AI. I use it intelligently, for work, not as my therapist. So much of our problems with technology is how we use it, not the tech itself. It''s like the Force--it will always be used for good and evil.","@GrowSomeLabia-qo4oj",""
"Bro I had this shit full screen on my ultrawide 12:9 and it still wasn''t wide enough","@lucky7imports",""
"The think is … there are also other players in the game and not only the USA.","@ZTGR1",""
"Now is the time where lies can be disguised as truth simply by presentation.","@pfiztime1511",""
"The billionaires are the problem, not the politicians necessarily.  So many of them are trying desperately to suppress advancements in energy because they are mostly invested in oil and natural gas.  They don’t want competition.  They can afford to live in space suits on the earth while we burn everything in sight.  They just don’t care about anybody else, because they have more money than they could ever spend in 100 lifetimes.","@just_joe102",""
"I love the editing on this","@uvurob",""
"every year has been this for the past 10 years man","@Doctor_Straing_Strange",""
"1958 is when it started to go down","@francineharrison885",""
"I feel like I’ve just been emotionally and intellectually formatted to accept the incoming regime change with open arms, instead of firearms, as some friends of mine in the hills might say.","@Pencil0fDoom",""
"Had they laid it out as : 1 - Artificial Intelligence 2 - Bioengineering 3 - Clean Energy instead, You would have had ""ABC"" ! What an opportunity wasted.","@daydreamer0606",""
"For Americans, American history = world history!","@DBCyrano",""
"Summary: Basically we need a post era war to force us reinvent our politics, social and innovation norms.","@5775-k5l",""
"You forgot the part where scientists invented solar panels and wind energy in the ‘50s, warned oil corps of human caused green house gases / global warming, and the oil corporation’s crushed and silenced the science in the name of greed","@goatsticks101",""
"With all of our efforts we are maxed out at 14% clean energy? Where do you get unlimited from? Look at what happened to Germany with the embrace of clean energy.","@StevePorter-ee5qw",""
"""Amplification of physical power"" through industrialization is not comparable to ""amplification of mental power"" through artifical intelligence. The more accurate way to put it imo is ""offloading of mental labor""... which is much scarier. People won''t have more mental power, they will have less because AI does it all for them.","@andrewbarrett682",""
"Um, so let me get this straight, every time the US decided that the massive accumulation of wealth in the hands of the few at the expense of the many was a very bad thing and took drastic measures to essentially redistribute wealth and provide the poor or marginalised with a more level playing field (through education, access to housing, access to jobs etc), the economy boomed and the pace of innovation was monumental...? But you''re saying it was the technology that drove the social and economic changes, rather than the social and economic changes that drove technology?","@kittydeleo4043",""
"The bigger the change the larger the pre-change disruption. We''ll all probably go back to swords and horses","@Himyar-OG",""
"One key technology had been missed...block chain and the separation of state and money.","@ShaunForgie",""
"My prediction: we''re going to bio engineer ourselves to be ""perfect"" by todays standard, but will inadvertently lead to our downfall as we lose the ability to do it without crispr","@az678910",""
"The government will control AI, the oil companies will control energy, and the pharmaceutical industry will control bio-engineering. The real revolution will be to stop relying on money.","@artman4444",""
"Finally found the perfect video for my Xperia","@NiloyTheBrokeRadio",""
"I do believe the optimistic view at the end is how we''ll turn out because that''s what big money ultimately needs to grow. On the other hand we could turn out to become a global Easter Island.","@joe28704",""
"It sounds like he is talking about the one world government that has been spoken about for decades.","@growngrownman5950",""
"Haven''t started watching yet, but is this like... supposed to be watched on a phone with that aspect ratio?","@ColaMolaLP",""
"I''m not really sure, if this is holding up. What about the internet boom, then the mobile boom, then social media boom. All this has massively transformed the world and that has happend basically from 1990 to 2015 - so outside of the mentioned transforming epochs. Also the electrification, the commoditization of automobiles and the scaling up of the movie industry all basically happened from 1890 to 1930 - three massively transformative events that happened between these epochs. So I think you could just take any epoch in history and make the case that it has been transformative. The 80 year cycle does not hold up to scrutiny.","@stevie-p228",""
"What’s so strange to me as a 90s kid is I remember a time before all these innovations but the introduction and application of it was so seamless that I don’t ever remember “learning” it just was.","@littlemissliv100",""
"Sooo....every 80 years the aliens come to visit, give us a new direction to go in, study our inept implementations of it and then return to give us another direction to go in so we can F* it all up in a more complicated way...yeah. Life is cyclical alright.","@BS-detector",""
"thanks for featuring Kuala Lumpur''s skyline.","@nottyboyyy",""
"Remaining indifferent to the events in Gaza and developing a positive outlook on the future is questionable from the perspective of humanity''s moral values. Past economic crises and social changes have highlighted issues that require attention. While technological advances fuel innovative ideas like the Enlightenment, remaining indifferent to human problems weakens the pursuit of social justice. Being sensitive to current crises and issues related to the human condition while building the future is the morally correct approach. For a sustainable future, it is important to consider both the technological and human dimensions. Therefore, ignoring the situation in Gaza could mean, at the very least, a lost opportunity for humanity and the rise of an indifferent humanity.","@oguz-cetin","1"
"YouTube has resurrected actual Cinerama, complete with three synchronized cameras.","@guycore5478",""
"The world is not only america","@al-maghribi-sa","1"
"Yea, We have created digital life forms. The birth of alien life not on mars but inside our computers.","@domenicperito4635",""
"Good luck with that last point on ""Global governance"" replacing nation states.  I don''t see that happening anytime soon, we''re still in a political pendulum swing toward nationalism. Certainly the pendulum will swing back toward international priorities but I don''t think we''re there yet.","@danboarder",""
"The editor of Freethink has been gone through a lot of Evolution as well.","@padderzahoor8901",""
"i dont care about technological advancement if i cant afford a home or to retire","@Yttiwgnihtemos",""
"ok this video was way too short! I need more!!  Very intersting","@travisrobison3457",""
"You dont only have to build a solar panel only once then you have power forever. It all needs regular replacement same as wind farms 15-20 year replacement. This isnt including cyclones and tornado’s which by the way have always happened","@5272paul",""
"Never forget the fact that the people who invest in this progress are the same that want their investment to follow through, so technology as it is - is amazing... It depends on what and how its used...","@Marsell88",""
"Wow. He summarised everything loosely in a bombastic voice. Every 80 years…definitely definitely every 80 years.","@graceann335",""
"In the future, businesses will be about doing things for customers, not about making money. Those who chase profit for its own sake will seem weird and old-fashioned, maybe even mentally ill.","@perfectionbox",""
"36 seconds in it''s already making me anxious, not tonight bro I''m going to play some ps2 games instead (video looks cool though)","@NoxiDream",""
"Rich visionaries presenting graphs of manufacturing costs in freefall, almost saying anything will soon be dirt cheap, but anyone who''s been around long enough knows this NEVER translates to lower consumer prices. Industries always find ways / excuses to sell cheaper products at higher prices. The system is rigged beyond repair.","@bartlx",""
"The worst part of this video is starting 09:44 the energy source is a technology...yeah true good thing lithium generates itself indefinitly and falls from the sky and we don''t have to ""dig it up"".....","@alliecravulz","1"
"Makes me think that I shouldn''t keep sticking to the AI negative bandwagon.... I either adapt/adopt it... or fade myself into obsoleteness, and I''m an illustrator. . . .","@PepinoTheGreat",""
"I love this format","@BlazingPhoenixArcher",""
"His optimism is staggering! I recommend tapering off the Adderall.","@Soliloquize",""
"the dislike is from the folks holding on with the old system","@ejuss4216",""
"I think that you can also include the internet itself in this list.","@ameremortal",""
"Really enjoyed the video.","@snev7545",""
"Wow just loved the quality this was an inspo","@luxecraft-studio",""
"I think you are accurate on most of this, besides the global governance. I doubt we will see states trade sovereignty for global coordination.","@MassiveDog-yk6yb",""
"Who controls these technologies (few governments, mega corporations) will make sure not everyone gets access to everything at the same level, which will lead to a new class system, based on Digital class system and genetic class system.","@DBCyrano",""
"Astrology packed in a cool tech cycle programme.","@dar3690",""
"The pattern here is there''s a big change after a big conflict. So what was our conflict? I hope it was the global war on terror, because if it wasn''t then it didn''t happen yet.","@Snipe4261",""
"Our ""Pete"" says the slavery to corporate application(s) is amazing...","@shadowbanned4606",""
"11:03 I like how he just glossed over the we’re gonna have abundant clean energy from solar panels. Buddy with all these AI data centers that are the size of Manhattan you’re not gonna power shit with solar panels. I can see in another 20-30 years when we finally grasp nuclear fusion, but to say we’re at the precipice of a new age and then use energy as one of those pillars is absurd.","@Pat_Fenis69",""
"Marketing is the Future","@OsvaldoMombi",""
"AI, Energy, Bioengineering. This guy pretty much just gives the basic premise of how the Matrix came to be","@ryanlovesgolf6326",""
"Wait, am I misreading the charts here? At some points, it shows 2025 is the inflection point where the old system and the new system cross each other (effectively meaning 2025 is the midpoint of the 25 years window); and in some other graphs, it says the 25 years window is from 2025 to 2050, which means it starts in 2025. So which one is it?","@harshithb",""
"""Sustainable capitalism"" Billionaires:""Over our dead bodies""","@yrspider",""
"I''m  kinda hoping for a carrington event....a really big one.","@WaningGibbous",""
"So I only have to stick around for another 25 years to enjoy this new world? Oops, too late for me. That sucks.","@goilo888",""
"now we all know what the people want. the IMAX version of this very video!","@gorilionn",""
"14:09  that Orwell guy was into something there.","@rosadelrio5120",""
"Great video, engaging speaker. Would make a good book","@Clyde.artwork",""
"Having AI next to clean energy is an oxymoron.","@immortalcoils93",""
"The only common link i can see with the three eras is war. There is always great growth after you destroy just about everything.","@liamtierney6309",""
"Wrong.   We are fast approaching an Orwellian techno-feudalistic state that will consume everything.  The digital world will not and cannot save you.  Robots are not your friends.  It is ''THE MACHINE'' made real, manifest by the billionaire oligarchs who don''t care about you, your mother, the sky or the animals.  See Paul Kingsnorth.  Leyden is just like Kurzweil, simply wrong.  ''THE MACHINE'' will not manifest a digital Protopia for humanity, it will be the end of humanity.  Look to Dune as a warning.  Artificial intelligence must be stopped because we simply can not use it responsibly - see Palantir, Anduril, Blackrock, Yudkowsky, etc.","@frankwhite1816","2"
"One big problem that has occurred dramatically in the last 5 years, is bringing hundreds of millions of people from third world countries into the modern western world.  Now they want to INSTANTLY be brought up to the western standard of wealth, housing, healthcare, education, services of all kinds.  It has put a massive burden on all systems of government and society.  It’s resulted in social unrest, increased poverty, crime, riots,rapes, etc.   And yet the people who voted for these policies continue to do so.  It’s societal suicide.  Never happened before in human history.","@jasonborne5724",""
"2025 is almost done and still no pivot. The only thing that’s changed is the speed at which humanity is heading to the trash — now with extra acceleration and zero brakes, courtesy of AI.","@happysoulmusicproject",""
"I dunno. Clean energy needs better storage beyond lithium which can better scale economically. The data centers powering AI need a constant steady stream of energy that clean energy volatility doesn’t quite have yet.","@DJPeterLo",""
"as Tim Cook said on the WWDC25: ""It''s just amazing!""","@v_smith89",""
"This dude looks like actors Brian Cox and Mandy Patinkin had a love child.","@horaceshmorace",""
"In all other cases of technology humans learned and improved their skills. With AI humans are outsourcing thinking.   And clean energy is not clean. It is like chocolate, people farming coca will die poor. Those who can buy will enjoy the suger in it.  Every technology improvement replaced something else. Someone who paid the price are not even recognised, and seen as someone who stayed behind","@ravim2626",""
"This is such a Eurocentric view of the world.....","@geunmama",""
"Corruption in government will destroy everything.","@markbrouk7857",""
"If they unironically use the phrase “game changing,” they’re either stupid, lying, or both. Whichever it is, there’s no need to listen.","@readthetype",""
"Who are the investors behind these channels ?","@kryptoknight992","1"
"we will all live in america and we will like it","@aHedgerowFrog",""
"Is this a re-upload? I swear I watched exact video two or three months ago. I’m shocked it says it was uploaded two weeks ago","@ntobekonkabinde",""
"is there like a secret society of genetically modified humans i can join? Sounds cool.","@CrxzyYT",""
"There''s some interesting ideas here but also a lot wrong with it.   - The iphone wasn''t particularly revolutionary. The computer/digital age was a revolution, the iphone was just one small step in that.  We''d already got the internet, desktop computers, traditional mobile phones, then mobile computers (""smartphones"") in the form of 1st blackberry and Microsoft, followed by the more modern take on mobile computers pioneered by both iPhone and Android, etc.  It was a fairly significant step, but in terms of the overall digital revolution it was just one of many pieces of the jigsaw.   - It''s very America-centric view, and those 80-25 year periods seems like a case of correlation is not necessarily causation. There is a chance that the civil unrest and social/political situations could be connected to that pattern, as that''s how long it takes for a generation to age out that learnt the lessons from the last conflict, but it''s not related to technology.  They''re also quite arbitrary start-stop markers of those time periods, in reality most of them were a much more gradual transition, and there were many other huge changes not captured in those time blocks.   - ChatGPT was a breakthrough, but not a revolutionary one. ""AI"" is certainly going to completely dwarf human intelligence at some point, but we''re not any closer now than we were 10 years ago.  For now all we''ve really achieved is ChatGPT/LLMs and picture/video generation, neither of which is true general intelligence.  Both of which have limited usefullness, LLMs in particular have very little real world application.  We don''t know when the next breakthrough in AI is going to be, could be very soon or it could be decades or even centuries away, either way it won''t be connected to the last breakthrough.  We''ve still not found much real world usefulness of LLMs, or pic/vid generation.  There''s also the insane cose of AI, both financially and environmentally.... it''s being funded by the stock market hype bubble at the moment, but once we have to start paying for it ourselves, even what we have now might suddenly fall off a cliff.   - There is no rise of clean energy. It''s a myth.  Something to placate people to stop them worrying about how we''re killing the planet, an excuse to silence their conscience and keep buying more stuff and keep breeding.  Solar panels and wind turbines help to mitigate it, a little bit, but that''s all.  They don''t have the reliability, flexibility, or scalability; and we have no way of buffering/storing it in sufficient quantities.  The closest thing we have to clean energy is nuclear, and again there''s no revolutions in nuclear since the 50s, continued improvement yes, but nothing revolutionary.   - Battery tech hasn''t significantly changed since the 70s. Lithium Ion batteries were invented in the 70s, and they haven''t changed significantly since.  All we''ve done since is commercialise and industrialise them.  It might seem like they''re getting better, but they''re not.  Tesla didn''t make better batteries, they just shoved an insanely large (and heavy!) amount of them in a car.  Solid states and other promised revolutionary battery tech are so far just hot air, nobody''s been able to nail a practical battery to beat Lithium yet despite the massive amount of money and research that''s already been poured into it over the last few decades, so the chances are they''re not going to.  We''re still not any closer.   - A future of ""sustained capitalism"" is laughably optimistic.  We''re currently on a steep downwards trajectory to an increasingly worse dystopia, and possibly a complete collapse of the financial system.  Capitalism has never been more messed up.  - I don''t know how you can say we''re closer to ""global governance"", when the conflicts between nations, between oligarchs, and between the rich and poor is the worst it''s been since WW2.  If anything we''re at a boiling point with civil wars, WW3, and nuclear annihilation all breathing down our necks.","@mrfish9876",""
"So good... He knows what 6-7 means","@brantwade923",""
"Brilliant talk. Thanks.","@stevelestermusic",""
"If the content of the video (all the changes) is so decisive, why not imagine that those epochs might change as well their duration? Just saying.","@cewotu7721",""
"Got in 1 minute, realized you''re part of the problem, never giving you the time of day again","@MahaloWellCasual",""
"I think he is missing a few technologies in addition to the the three he listed. These include but are not limited to reusable rockets, fusion power, and supersonic air travel etc.","@TheTrueMorningStar",""
"I remember those days. Back when Wired was a genuine tech outlet run by genuine tech-enthusiasts. Back when you could expect intellectual honesty and decent journalism. Now Wired is, like most media and journalism outlets established prior to the Wokening, woke dogshit.","@Gubers",""
"Every year is the single most pivotal year in history...bc that year is the present.","@KingRickyA",""
"One thing never changes...","@trippymchippy8586",""
"8 years and excellent experience for 3 year fact checked wonderfull surprise..","@EricObrien-w1g",""
"... and we are not any more happier.","@leszeknagooglach",""
"Key words: global governance, enlightment, capitalism","@carlosalmassih",""
"We have never really had a representative democracy. The top 1% don’t just create financial inequality; they also create inequality in who gets a voice. Why is someone like Elon Musk, a South African, able to speak out on U.S. elections, receive an enormous platform, and even influence voters thousands of kilometers away in places like Germany? This wasn''t and isn’t democracy anymore: it’s a billionaire autocracy.","@xMissElla",""
"What makes this guy so optimistic?","@sycamoremitchell6268",""
"yeeea but I kinda think we had the right leader for those moments. Today, I''m entirely out of hope for that.","@allenwilson5176",""
"Surprised he didn''t mention nuclear when talking about clean energy... Nuclear renaissance incoming","@nicholasxyz8880",""
"You still have to make and dispose of clean energy tech though. That takes oil, minerals etc.","@sorrywrongplanet8873",""
"The big unanswered question is: who controls these technologies?","@mosonic",""
"so any investment tips? dont wanna miss out on the next bitcoin","@chewij9985",""
"I hate where we have become with all this technology","@francineharrison885",""
"If we’re lucky, the pending AI bubble pop will be the end of this fourth turning and we can get on with the next phase as described in this video.  Dystopia and utopia never happen. The best we can hope for is protopia.","@GeorgeEveritt1",""
"We are all more or less fucked as all previous times. Each time wham such changes come, it is war, economic crisis and other stuff.","@qu817",""
"You not thinking PRICES NEVER GO DOWN !!!  Thats your only flaw .. you think improvements means lower prices","@rogers8555",""
"the world is not ready for whats coming","@smithusman8557",""
"Soooo when can I have multiple back up bodies & lives like in Altered Carbon?","@mrstingfish","1"
"He just described the mother load of unintended consequences.","@MarkLightGroup",""
